nlc,Station,longitude,latitude,EntriesHr,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million
626,Knightsbridge,51.5017,-0.1603,565.4,28118,39428,27435,26236,32616,20007,20.296928
627,Ladbroke Grove,51.5173,-0.21114,138.4,9301,9099,4845,8446,6574,3774,5.813508
628,Lambeth North,51.4989,-0.11216,77.3,5166,4610,3203,4675,3988,2712,3.285854
629,Lancaster Gate,51.5121,-0.175067,141.8,9695,7762,6364,9224,7630,5612,6.293475
630,Latimer Road,51.5131,-0.218428,48.3,4448,2172,1496,4221,1870,1370,2.572535
631,Leicester Square,51.5115,-0.12849,1205.5,58943,88890,54688,53914,85601,49034,43.745951
632,Leyton,51.5565,-0.005669,327,21859,19565,13504,21672,15741,12890,14.406501
633,Leytonstone,51.5683,0.00739,241,17702,13410,9372,17075,12573,9188,11.244737
634,Liverpool Street,51.5177,-0.082458,1416.2,115738,65331,56846,118058,66445,66113,73.257321
635,London Bridge,51.5054,-0.084826,1524.2,115478,86367,54213,109518,82780,51631,71.964428
636,Loughton,51.6417,0.05583,63.1,5342,3371,1885,5371,3157,1892,3.272688
637,Maida Vale,51.5299,-0.185888819,74.5,5557,4132,2822,4940,3569,2713,3.382758
638,Manor House,51.5704,-0.09601,215.6,14218,12504,9495,13472,10238,8937,9.275642
639,Mansion House,51.5126,-0.09397,94.7,11018,2881,2004,9251,1800,1212,5.561213
640,Marble Arch,51.5136,-0.15869195,407.3,22499,25984,19939,20480,21801,15386,15.442682
641,Marylebone,51.5227,-0.162996,250.1,19933,13525,8557,20151,13288,8219,12.525312
642,Mile End,51.5253,-0.033471,366.4,25573,21295,14692,23886,18851,14291,16.310716
643,Mill Hill East,51.6089,-0.20965,24.8,2293,1159,717,2047,1343,809,1.318158
646,Moor Park,51.6297,-0.432070848,15.2,1607,608,334,1491,598,342,0.88639
645,Moorgate,51.5182,-0.08859,341.7,46906,6260,4236,51048,7736,5128,26.06263
647,Morden,51.4022,-0.194599126,195.2,15288,10346,7166,14046,9319,6927,9.275569
648,Mornington Crescent,51.5343,-0.13901,141.5,6948,4709,12108,6023,3309,2002,4.531089
649,Neasden,51.5543,-0.25042,77.6,6097,4070,2866,5513,3718,2730,3.67247
650,Newbury Park,51.5757,0.08927,97.7,7910,4933,3565,5898,3835,2848,4.327727
653,North Acton,51.5237,-0.26019,122.9,10256,6092,4294,9572,5458,3997,6.106253
654,North Ealing,51.5181,-0.28838,18.5,1517,970,620,1340,880,627,0.892594
789,North Greenwich,51.5006,0.0036,577,36889,35100,24951,40511,37282,26422,26.377071
656,North Harrow,51.585,-0.362595264,35.8,3307,1653,1049,3219,1488,1043,1.937838
659,North Wembley,51.5626,-0.304072648,39,3029,2037,1478,2781,1815,1344,1.836732
655,Northfields,51.4999,-0.313188,85.1,6714,4501,3087,6166,4160,3203,4.080122
657,Northolt,51.5481,-0.368257,105.4,8191,5665,3846,7723,5081,3628,5.026
660,Northwick Park,51.5785,-0.317857023,85,7776,3811,2697,7635,3434,2598,4.588128
661,Northwood,51.611,-0.423584422,49.3,4431,2412,1444,3752,2140,1416,2.475743
662,Northwood Hills,51.6004,-0.408812575,35,3163,1666,1047,2544,1397,941,1.720439
663,Notting Hill Gate,51.509,-0.1962847,395,23840,27150,15372,22847,30427,16461,16.683962
664,Oakwood,51.6474,-0.13192,61.7,4264,3630,2472,4347,3547,2458,2.842657
665,Old Street,51.5262,-0.08751,500.7,40998,25873,17251,39415,28716,15976,25.14351
667,Osterley,51.4816,-0.35196,49.9,3660,2736,1991,3685,2393,1826,2.350196
668,Oval,51.4821,-0.11284,149.5,11232,8216,5672,10603,7177,5237,6.968322
669,Oxford Circus,51.5152,-0.14119,1948.4,133573,119005,74755,144576,132125,76519,92.355623
670,Paddington,51.5152,-0.175538808,1052.7,79872,50909,46066,75883,47801,40347,49.637302
671,Park Royal,51.5267,-0.28417,38.7,3442,1899,1161,3222,1905,1137,2.019382
672,Parsons Green,51.4749,-0.20205,136.6,11469,7177,4297,10737,6414,4132,6.822161
673,Perivale,51.5367,-0.32391,49,3917,2608,1715,3761,2455,1671,2.405584
674,Piccadilly Circus,51.5102,-0.13392,1078.9,60037,74203,47023,57820,74315,42063,42.796831
776,Pimlico,51.4891,-0.133037,229.5,18980,11085,8497,17316,10181,8045,11.264698
675,Pinner,51.5927,-0.380539158,57.3,5276,2705,1643,5080,2505,1632,3.084213
676,Plaistow,51.5312,0.01659,152.8,11204,8899,5572,10758,7518,5503,7.063495
677,Preston Road,51.5723,-0.295813875,70.6,5626,3568,2670,5304,3306,2499,3.427709
678,Putney Bridge,51.4687,-0.2088141,117,8947,6472,4238,9257,6217,4092,5.75691
680,Queen's Park,51.5342,-0.205257721,124.2,9627,6586,4651,8538,5627,4515,5.771615
